274,307
544,305
510,238
317,236
419,239
418,381
253,358
565,348
416,280
419,150
186,599
636,600
214,344
296,199
526,197
606,344
185,476
636,476
416,646
234,512
590,515
415,601
288,576
544,579
196,405
628,406
569,260
255,250
413,483
413,546
288,631
554,634
307,477
316,413
533,419
539,480
484,540
320,523
261,438
586,441
484,163
337,167
420,190
360,190
477,196
487,479
486,409
359,482
373,425
333,381
516,379
416,312
344,284
348,341
482,341
473,287
359,568
466,579
372,239
466,239
643,549
183,540
571,549
253,543
211,440
610,459
248,404
586,411
